class,policy,reward,seed,stage,win,turns,hp,max_hp,hp_spent,hp_restored,cards_drawn,casts,deck_size,timeout
tide,greedy,skip,10015,3,1,8,15,30,0,45,0,14,20,0
tide,greedy,skip,10015,4,1,10,9,30,0,67,0,16,20,0
tide,greedy,skip,10016,0,1,2,28,30,0,0,0,3,20,0
tide,greedy,skip,10016,1,1,4,14,30,0,5,0,6,20,0
tide,greedy,skip,10016,2,1,6,18,30,0,20,0,10,20,0
tide,greedy,skip,10016,3,1,11,13,30,0,75,0,19,20,0
tide,greedy,skip,10016,4,1,9,7,30,0,55,0,14,20,0
tide,greedy,skip,10017,0,1,2,28,30,0,0,0,3,20,0
tide,greedy,skip,10017,1,1,3,21,30,0,5,0,5,20,0
tide,greedy,skip,10017,2,1,5,16,30,0,10,0,7,20,0
tide,greedy,skip,10017,3,1,11,16,30,0,78,0,20,20,0
tide,greedy,skip,10017,4,0,6,0,30,0,28,0,9,20,0
tide,greedy,skip,10018,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10018,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10018,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10018,3,1,8,11,30,0,41,0,14,20,0
tide,greedy,skip,10018,4,1,6,8,30,0,23,0,9,20,0
tide,greedy,skip,10019,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10019,1,1,2,23,30,0,0,0,4,20,0
tide,greedy,skip,10019,2,1,5,21,30,0,15,0,8,20,0
tide,greedy,skip,10019,3,1,8,12,30,0,38,0,13,20,0
tide,greedy,skip,10019,4,1,5,1,30,0,10,0,6,20,0
tide,greedy,skip,10020,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10020,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10020,2,1,5,22,30,0,16,0,8,20,0
tide,greedy,skip,10020,3,1,8,7,30,0,37,0,13,20,0
tide,greedy,skip,10020,4,1,7,1,30,0,31,0,11,20,0
tide,greedy,skip,10021,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10021,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10021,2,1,5,11,30,0,5,0,8,20,0
tide,greedy,skip,10021,3,1,11,18,30,0,76,0,20,20,0
tide,greedy,skip,10021,4,1,7,4,30,0,31,0,11,20,0
tide,greedy,skip,10022,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10022,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10022,2,1,7,11,30,0,21,0,11,20,0
tide,greedy,skip,10022,3,1,10,20,30,0,70,0,19,20,0
tide,greedy,skip,10022,4,1,6,6,30,0,23,0,9,20,0
tide,greedy,skip,10023,0,1,2,30,30,0,0,0,3,20,0
tide,greedy,skip,10023,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10023,2,1,5,13,30,0,7,0,8,20,0
tide,greedy,skip,10023,3,1,8,8,30,0,42,0,14,20,0
tide,greedy,skip,10023,4,1,7,4,30,0,28,0,10,20,0
tide,greedy,skip,10024,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10024,1,1,3,16,30,0,0,0,4,20,0
tide,greedy,skip,10024,2,1,6,13,30,0,15,0,10,20,0
tide,greedy,skip,10024,3,1,7,16,30,0,32,0,12,20,0
tide,greedy,skip,10024,4,1,9,3,30,0,54,0,14,20,0
tide,greedy,skip,10025,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10025,1,1,3,23,30,0,7,0,5,20,0
tide,greedy,skip,10025,2,1,5,20,30,0,14,0,8,20,0
tide,greedy,skip,10025,3,1,7,19,30,0,37,0,13,20,0
tide,greedy,skip,10025,4,1,6,3,30,0,24,0,9,20,0
tide,greedy,skip,10026,0,1,2,26,30,0,0,0,3,20,0
tide,greedy,skip,10026,1,1,3,21,30,0,5,0,5,20,0
